R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN
9761,1147000000,326,서울특별시,양천구,1,학교,신목고등학교,1147010100103300003000715,1147010100,1147067000,서울특별시 양천구 안양천로 739(신정동),1995,767,126.87374,37.51261,188836.951,545910.6208,안전
9762,1147000000,328,서울특별시,양천구,1,학교,계남초등학교 체육관,1147010100103250007000001,1147010100,1147068000,서울특별시 양천구 목동동로2길 54(신정동),160,62,126.86094,37.5098,187704.7522,545600.7428,안전
10308,1154500000,346,서울특별시,금천구,4,관공서,금천종합복지타운,1154510300102670009000001,1154510300,1154568000,서울특별시 금천구 금하로 764(시흥동),473,181,126.91447,37.44967,192432.2316,538921.8894,안전
9780,1147000000,316,서울특별시,양천구,1,학교,양동중학교,1147010200106000006017840,1147010200,1147053000,서울특별시 양천구 목동중앙북로 49(목동),1028,395,126.86935,37.54789,188454.7215,549827.8244,안전
10305,1154500000,351,서울특별시,금천구,4,관공서,시흥3동주민센터,1154510300109560003004004,1154510300,1154569000,서울특별시 금천구 시흥대로18길 40(시흥동),198,76,126.90583,37.44028,191666.1439,537879.8595,안전
9782,1147000000,318,서울특별시,양천구,1,학교,월촌초등학교 체육관,1147010200109010001015997,1147010200,1147055000,서울특별시 양천구 목동중앙로 132(목동),540,208,126.87619,37.54002,189057.7584,548953.0822,안전
9778,1147000000,314,서울특별시,양천구,1,학교,서울서정초등학교,1147010200109270005021000,1147010200,1147051000,서울특별시 양천구 목동로8길 19(목동),708,272,126.86752,37.52424,188288.8275,547203.0291,안전
9775,1147000000,24,서울특별시,양천구,1,학교,신서중학교 체육관,1147010100103100006000001,1147010100,1147062000,서울특별시 양천구 중앙로 206(신정동),860,331,126.85616,37.51566,187283.6051,546251.6912,안전
9776,1147000000,12,서울특별시,양천구,1,학교,목동초등학교 체육관,1147010100100860002005586,1147010100,1147063000,서울특별시 양천구 목동동로12길 12(신정동),810,312,126.87209,37.52248,188692.4066,547007.0699,안전
9781,1147000000,317,서울특별시,양천구,1,학교,영도초등학교,1147010200109030001016214,1147010200,1147055000,서울특별시 양천구 목동중앙로 70(목동),931,358,126.87145,37.53582,188638.2335,548487.9583,안전
10306,1154500000,353,서울특별시,금천구,4,관공서,시흥4동주민센터,1154510300108120038000001,1154510300,1154570000,서울특별시 금천구 독산로36길 14(시흥동),132,50,126.90618,37.45895,191698.9118,539952.0875,안전
10307,1154500000,344,서울특별시,금천구,4,관공서,시흥1동주민센터,1154510300108860006000001,1154510300,1154567000,서울특별시 금천구 시흥대로58길 36(시흥동),314,120,126.90327,37.45357,191441.2628,539355.3124,안전
9779,1147000000,315,서울특별시,양천구,1,학교,양화초등학교 체육관,1147010200105420000019226,1147010200,1147052000,서울특별시 양천구 목동중앙북로16길 57(목동),632,243,126.87454,37.54338,188912.8738,549326.3185,안전
10313,1156000000,424,서울특별시,영등포구,1,학교,영원중학교,1156010100105760006037076,1156010100,1156051500,서울특별시 영등포구 영등포로62길 31(영등포동),513,197,126.91373,37.51556,192373.2846,546234.4672,안전
10312,1156000000,425,서울특별시,영등포구,1,학교,서울영원초등학교,1156010100106470002037065,1156010100,1156051500,서울특별시 영등포구 도영로22길 31(영등포동),590,227,126.90233,37.51071,191365.0751,545697.5066,안전
10310,1154500000,355,서울특별시,금천구,6,교회,예향교회,1154510300108360020000541,1154510300,1154571000,서울특별시 금천구 금하로21길 9(시흥동),165,63,126.90798,37.45193,191858.1389,539172.6709,안전
10309,1154500000,354,서울특별시,금천구,6,교회,시흥감리교회,1154510300108260010000479,1154510300,1154571000,서울특별시 금천구 금하로23나길 9(시흥동),181,69,126.90937,37.45225,191980.8171,539208.8567,안전
10311,1154500000,349,서울특별시,금천구,7,기타시설,하누리주간보호센터,1154510300109720004003877,1154510300,1154569000,서울특별시 금천구 시흥대로2길 57(시흥동),132,50,126.90643,37.43524,191718.4576,537320.368,안전
10318,1156000000,474,서울특별시,영등포구,13,"연수,숙박",하이서울유스호스텔,1156010800100590001000001,1156010800,1156053500,서울특별시 영등포구 영신로 200(영등포동7가),9807,330,126.90344,37.5256,191464.3653,547349.5147,긴급
10316,1156000000,465,서울특별시,영등포구,4,관공서,영등포동주민센터,1156010300102220002033878,1156010300,1156053500,서울특별시 영등포구 영등포로53길 22(영등포동2가),336,129,126.91064,37.52031,192100.2189,546762.4499,긴급
10323,1156000000,463,서울특별시,영등포구,4,관공서,여의동주민센터,1156011000100050008000001,1156011000,1156054000,서울특별시 영등포구 국제금융로 124(여의도동),140,54,126.93451,37.51765,194210.7721,546464.7304,안전
10314,1156000000,440,서울특별시,영등포구,3,경로당,구립영등포본동경로당,1156010100106200050000001,1156010100,1156051500,서울특별시 영등포구 영신로9나길 7(영등포동),292,112,126.90668,37.51295,191749.7242,545946.0544,안전
10320,1156000000,417,서울특별시,영등포구,1,학교,여의도고등학교,1156011000100300001031125,1156011000,1156054000,서울특별시 영등포구 국제금융로7길 37(여의도동),986,379,126.93412,37.52506,194176.5079,547287.3494,긴급
10315,1156000000,464,서울특별시,영등포구,4,관공서,영등포본동주민센터,1156010100105920070000001,1156010100,1156051500,서울특별시 영등포구 신길로61길 17(영등포동),75,29,126.90939,37.51471,191989.592,546140.7982,안전
10317,1156000000,410,서울특별시,영등포구,1,학교,서울영중초등학교,1156010800100530000032736,1156010800,1156053500,서울특별시 영등포구 양산로 185(영등포동7가),198,76,126.90396,37.52381,191510.6908,547151.2966,긴급
10322,1156000000,441,서울특별시,영등포구,3,경로당,구립시범(아)경로당,1156011000100500002000001,1156011000,1156054000,"서울특별시 영등포구 63로 45(여의도동, 여의도시범아파트)",165,63,126.93702,37.52058,194432.873,546789.6278,긴급
10319,1156000000,458,서울특별시,영등포구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",영등포동주민자치회관,1156010800100590004032061,1156010800,1156053500,서울특별시 영등포구 국회대로44길 4(영등포동7가),196,75,126.90361,37.52538,191479.4212,547325.719,긴급
10321,1156000000,426,서울특별시,영등포구,1,학교,서울윤중초등학교,1156011000100380000031498,1156011000,1156054000,서울특별시 영등포구 여의나루로2길 14(여의도동),689,265,126.92289,37.5198,193183.5783,546704.1031,긴급
10324,1156000000,442,서울특별시,영등포구,3,경로당,구립당산3가경로당,1156011300104090000000002,1156011300,1156055000,서울특별시 영등포구 당산로29길 9(당산동3가),132,51,126.89395,37.52603,190625.7699,547398.3179,안전
9804,1147000000,327,서울특별시,양천구,1,학교,갈산초등학교,1147010100103300010000226,1147010100,1147068000,서울특별시 양천구 목동로 31(신정동),660,254,126.86963,37.51145,188473.6196,545782.9257,안전
9803,1147000000,325,서울특별시,양천구,1,학교,금옥중학교 체육관,1147010100107290000004597,1147010100,1147064000,서울특별시 양천구 신정로 213(신정동),577,222,126.84385,37.51065,186193.8644,545697.8386,안전
9805,1147000000,335,서울특별시,양천구,1,학교,신목초등학교 체육관,1147010100102810002000028,1147010100,1147063000,서울특별시 양천구 신목로5길 11-6 (신정동),661,254,126.87328,37.51698,188796.7838,546396.0868,안전
10325,1156000000,466,서울특별시,영등포구,4,관공서,당산1동주민센터,1156011300102500000029028,1156011300,1156055000,서울특별시 영등포구 양산로23길 11(당산동3가),175,67,126.89731,37.52501,190922.4437,547285.1586,안전
